side,feature,importance
long,PutVol,9.716306445202155
long,CallVolDelta5s,6.539539879416737
long,SpreadBps,6.425835169971264
long,CallVol,4.494727682863155
long,MinuteOfDay,3.8785658434466352
long,AtAskVol,3.7322280406689576
long,ImbalanceStd5s,3.7067022147108246
long,SpreadMaxBps5s,3.629113939549167
long,Volume,3.5167278111802243
long,AtBidVol,3.410977597776771
long,AskSizeLast,3.321471854326252
long,PutVolDelta5s,2.7083944532831987
long,SecondsFromOpen,2.5672225391375134
long,L1Imbalance,2.21785422624421
long,BidSize,2.0623710889742917
long,Ask,2.0018813420415027
long,SpreadMinBps5s,1.9289401538072546
long,SetupThresholdMargin,1.9063883647817845
long,SetupProb,1.885396755914329
long,AskLast,1.8317456309976339
long,BidSizeLast,1.7775114301060382
long,QuoteAgeMs,1.743805735268387
long,Low,1.7261918653159447
long,QuoteAgeMsMean,1.484243673700069
long,Count,1.4360663165523382
long,QuoteUpdateCount5s,1.3487059850434697
long,TradePrintCount5s,1.3229826595468568
long,BidLast,1.2424767850485272
long,AskSize,1.2298372000599527
long,High,1.1496509141250801
long,FeatureCompleteness,1.1074143694746637
long,YesterdayClose,1.0321871926700084
long,SetupThreshold,1.030805031378556
long,SyntheticCoverage,0.9583113858515862
long,Open,0.9050491010586231
long,SetupQty,0.8694173639156059
long,TradeSecondsPresent,0.820860191084981
long,WAP,0.815637555488283
long,QualityScore,0.7544726621989294
long,Bid,0.6818012917308433
long,SyntheticSeconds,0.6176169415388485
long,QuoteAgeMsMax,0.5971495414767094
long,Close,0.5498877453108241
long,TradeCoverage,0.5322985424232562
long,QuoteUpdateCoverage,0.4969845327804555
long,QuoteCoverage5s,0.29857708890937534
long,SessionBucket_close,0.25701323087393435
long,QuoteUpdateSecondsPresent,0.25637900921871853
long,Symbol_TQQQ,0.253674233550399
long,SessionBucket_midday,0.24754511559557477
long,LockedCrossedSeconds,0.19484628762711603
long,ValidSpreadCoverage,0.19316854149950397
long,Symbol_NVDA,0.1744425397739152
long,Symbol_QQQ,0.1719623097097529
long,SessionBucket_open,0.14787155789057288
long,Symbol_TSLA,0.09076303790843772
long,Symbol_SPY,0.0
long,SetupArbitrationReason_best_threshold_margin,0.0
long,SetupArbitrationReason_only_long_passed,0.0
short,PutVol,10.652408843127622
short,CallVol,6.196272222846582
short,MinuteOfDay,4.560256642035387
short,SecondsFromOpen,3.6866011015150137
short,Count,3.652136787992564
short,PutVolDelta5s,3.6221801797607966
short,AskSize,3.4912250123980577
short,SetupProb,3.4700886811496043
short,AtAskVol,3.4696297594918124
short,TradePrintCount5s,3.339958331310594
short,ImbalanceStd5s,3.2830172214393216
short,SpreadMaxBps5s,3.200038874367775
short,SetupThreshold,2.8142082030324875
short,Volume,2.8080041190617795
short,AtBidVol,2.414443932862011
short,QuoteUpdateCoverage,2.3553541329487047
short,SetupThresholdMargin,2.3379666745549037
short,SpreadBps,2.286136974640327
short,CallVolDelta5s,2.2219898885647273
short,AskSizeLast,2.1437302482451503
short,SpreadMinBps5s,2.0950663345349163
short,WAP,1.8135278388902387
short,L1Imbalance,1.7058737222477576
short,QuoteAgeMsMax,1.5097019552417987
short,QuoteUpdateCount5s,1.4552197107680096
short,Low,1.3454653111502677
short,QuoteAgeMsMean,1.3250455577451061
short,BidSizeLast,1.2909617263573445
short,BidSize,1.263777991642071
short,Open,1.242400682406087
short,SyntheticSeconds,1.0318323706624621
short,Ask,1.016191797400602
short,QuoteUpdateSecondsPresent,0.9886224018673934
short,SyntheticCoverage,0.9641188441769177
short,QualityScore,0.9292357036894182
short,QuoteCoverage5s,0.8744558386262562
short,TradeCoverage,0.7926162421984718
short,SetupQty,0.7630757307024371
short,AskLast,0.6790803605166138
short,QuoteAgeMs,0.6221304909706248
short,Bid,0.5788500969130339
short,BidLast,0.5617752694935668
short,YesterdayClose,0.5612477446301435
short,TradeSecondsPresent,0.5272449671267208
short,Close,0.39512133136456495
short,FeatureCompleteness,0.37622787243012085
short,Symbol_TSLA,0.315920215935966
short,High,0.2685045728968714
short,SessionBucket_open,0.23102236376336946
short,LockedCrossedSeconds,0.1262993419346539
short,Symbol_TQQQ,0.09741149350238955
short,SessionBucket_close,0.08503236843335059
short,ValidSpreadCoverage,0.06167416053602245
short,SessionBucket_midday,0.03161773784855039
short,SetupArbitrationReason_best_threshold_margin,0.01734930022787271
short,Symbol_SPY,0.01573440632676395
short,SetupArbitrationReason_only_short_passed,0.014537216981227574
short,Symbol_QQQ,0.013223241864880868
short,Symbol_NVDA,0.0071578546499500946
