Label_Version,arm_id,Symbol,SetupEpochSec,SetupTimeUtc,SetupSide,SetupProb,SetupThreshold,SetupThresholdMargin,SetupArbitrationReason,SetupQty,MicroEvalWithinTtlCount,Label_Min_Micro_Prob,Label_Min_Expected_Net_R,Label_Long_Setup_DownstreamPositive,Label_Short_Setup_DownstreamPositive,Expected_Long_Setup_DownstreamNetR,Expected_Short_Setup_DownstreamNetR,Max_Future_Micro_Long_Prob,Max_Future_Micro_Short_Prob,Best_Entry_Delay_Seconds,Best_Entry_EpochSec,Best_Entry_TimeUtc,Best_Micro_Prob,Best_Realized_Net_R,Best_MFE_R,Best_MAE_R,Best_Exit_Reason,Best_Outcome_Status
setup_downstream_confirmable_labels_v1,TSLA-long-1777299180-1,TSLA,1777299180,2026-04-27T14:13:00Z,long,0.6178,0.604,0.013800000000000034,only_long_passed,163,7,0.3,0.0,0,0,,,0.1727,,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300200-2,TSLA,1777300200,2026-04-27T14:30:00Z,short,0.6256,0.608,0.01760000000000006,only_short_passed,163,5,0.3,0.0,0,0,,,,0.1506,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300230-3,TSLA,1777300230,2026-04-27T14:30:30Z,short,0.6444,0.608,0.03639999999999999,only_short_passed,163,11,0.3,0.0,0,0,,,,0.1937,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300470-4,TSLA,1777300470,2026-04-27T14:34:30Z,short,0.6085,0.608,0.000500000000000056,only_short_passed,163,9,0.3,0.0,0,0,,,,0.1975,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300500-5,TSLA,1777300500,2026-04-27T14:35:00Z,short,0.6164,0.608,0.008399999999999963,only_short_passed,163,8,0.3,0.0,0,0,,,,0.2149,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300530-6,TSLA,1777300530,2026-04-27T14:35:30Z,short,0.6129,0.608,0.0049000000000000155,only_short_passed,163,10,0.3,0.0,0,0,,,,0.2345,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300590-7,TSLA,1777300590,2026-04-27T14:36:30Z,short,0.633,0.608,0.025000000000000022,only_short_passed,163,11,0.3,0.0,0,0,,,,0.1945,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777300890-8,TSLA,1777300890,2026-04-27T14:41:30Z,short,0.6512,0.608,0.043200000000000016,only_short_passed,163,13,0.3,0.0,0,0,,,,0.1507,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777301070-9,TSLA,1777301070,2026-04-27T14:44:30Z,short,0.6723,0.608,0.06430000000000002,only_short_passed,162,12,0.3,0.0,0,0,,,,0.1889,,,,,,,,,no_micro_floor_candidate
setup_downstream_confirmable_labels_v1,TSLA-short-1777301130-10,TSLA,1777301130,2026-04-27T14:45:30Z,short,0.6311,0.608,0.02310000000000001,only_short_passed,162,7,0.3,0.0,0,0,,,,0.1756,,,,,,,,,no_micro_floor_candidate
